,nav
20250904,183945809.39458334
20250905,190795179.8421868
20250908,192359209.3641936
20250909,192321445.02830753
20250910,191885581.3491055
20250911,195851196.7646147
20250912,196957002.97038525
20250915,196160681.4208942
20250916,197351599.78183675
20250917,197995651.58406165
20250918,194652655.3429927
20250919,195082399.2298182
20250922,197090423.0010461
20250923,196236086.36850706
20250924,198792710.85877377
20250925,198121368.2509347
20250926,197303008.07443845
20250929,203492059.6398007
20250930,206574673.35111755
20251009,211009789.67305246
20251010,210130166.6250408
20251013,210826990.421732
20251014,207970431.30796763
20251015,212232799.81226382
20251016,210810808.3845519
20251017,206912354.74257478
20251020,208827355.7394761
20251021,212783882.00083718
20251022,211115517.06078798
20251023,213094842.39929733
20251024,214566672.90073195
20251027,218115786.96212292
20251028,216472073.94656837
20251029,222312150.91734642
20251030,220518295.2774622
20251031,219478014.15255913
20251103,220909172.3560246
20251104,218417645.9113027
20251105,221096522.13542333
20251106,224984130.22888473
20251107,224820541.91863427
20251110,225397444.16257444
20251111,225315298.51140216
20251112,224644598.80631694
20251113,228167129.64437
20251114,225239748.1512818
20251117,225029277.75067443
20251118,222089710.15571997
20251119,222312573.91311404
20251120,220560546.10788155
20251121,211501657.387936
20251124,212166763.38564324
20251125,215590622.93862173
20251126,215086922.2160969
20251127,216482304.8352259
20251128,219723524.8128937
20251201,222138624.16694614
20251202,221454453.826451
20251203,222149121.27700132
20251204,221098384.55029768
20251205,224305372.16805562
20251208,224536408.63525882
20251209,222996091.26718292
20251210,224243432.1334988
20251211,222222676.705658
20251212,224223033.23692366
20251215,224519681.54628274
20251216,220445118.392973
20251217,223565418.47959623
20251218,224124323.52359065
20251219,226000349.34474853
20251222,228151556.6060771
20251223,228913804.39766154
20251224,230889258.16228253
20251225,231049953.8346654
20251226,233356798.83701152
20251229,232330452.14004928
20251230,232043669.60876423
20251231,231712388.61674646
