,nav
20250509,166402388.7798613
20250512,167530530.64820722
20250513,167515433.17436817
20250514,168048467.35686213
20250515,166845859.14734712
20250516,168168781.166868
20250519,168854910.57032728
20250520,169889279.29831362
20250521,169719570.89529228
20250522,167835802.57069287
20250523,167655790.99895388
20250526,169088389.43114552
20250527,168600652.3045184
20250528,169459472.1291581
20250529,171227165.01431668
20250530,169202597.2400376
20250603,170050468.10879332
20250604,171529763.2347533
20250605,171521804.67251167
20250606,172541202.25251445
20250609,174375764.12305152
20250610,173317654.24069333
20250611,174674208.3209547
20250612,175554946.33333963
20250613,175197221.30160543
20250616,175415274.47479996
20250617,176016270.31848463
20250618,176027377.00703374
20250619,173312233.04965356
20250620,172343872.39167017
20250623,174496681.99412933
20250624,175474027.8640968
20250625,176583814.91899118
20250626,177583176.10905406
20250627,179658444.52606365
20250630,181997499.46827015
20250701,183491559.87633565
20250702,183399718.57481393
20250703,184319091.31154865
20250704,182920411.12003133
20250707,184207217.16035163
20250708,186407097.19044203
20250709,186349080.7313523
20250710,187233488.46954086
20250711,187758541.3588357
20250714,189169602.50217372
20250715,187957795.96954095
20250716,187644296.12529826
20250717,188769353.52668908
20250718,189850774.49666768
20250721,194304043.97280446
20250722,197856542.92503712
20250723,196451060.13280073
20250724,197968649.950413
20250725,195852870.7498355
20250728,196054915.3330304
20250729,196583332.2348719
20250730,196744391.31048515
20250731,193091757.27871314
20250801,193714878.30758497
20250804,195906190.1498157
20250805,197344713.6115254
20250806,199151110.34776735
20250807,198861176.99772662
20250808,199908885.33114704
20250811,201632473.19852173
20250812,202727696.3511526
20250813,205563416.92797828
20250814,203039309.63633296
20250815,207098837.94047856
20250818,208869234.790141
20250819,209227673.54923725
20250820,211148047.87806332
20250821,210484842.83581367
20250822,212069858.1938539
20250825,215552209.70911252
20250826,216841431.86776876
20250827,212012885.94113076
20250828,214612406.1084039
20250829,214869502.48296565
20250901,216968882.85754195
20250902,213058671.08330774
20250903,211361986.9414779
20250904,206044467.62905103
20250905,214803487.87343982
20250908,215780988.3539878
20250909,215521030.3466006
20250910,214928113.22109592
20250911,221387748.707872
20250912,222219721.45597044
20250915,221994991.72830322
20250916,223513413.26192743
20250917,225859214.85056633
20250918,222399832.7887038
20250919,222550081.5398348
20250922,224985694.90678468
20250923,224322506.7678753
20250924,226349424.8804797
20250925,226529459.6470133
20250926,225456840.47393656
20250929,231146128.63449398
20250930,233938638.2874329
20251009,238889840.83711714
20251010,236081795.49662176
20251013,236749253.9512638
20251014,234053929.64086643
20251015,239821665.86875153
20251016,238916939.14048782
20251017,233404798.39253494
20251020,237438187.12969413
20251021,241822479.71763918
20251022,239261173.14618418
20251023,240039593.95716485
20251024,242910271.48230776
20251027,247020548.46602443
20251028,244715380.16444108
20251029,251687498.53072113
20251030,249078802.48261383
20251031,247274117.12804633
20251103,248419060.2322617
20251104,245260750.65613872
20251105,248965783.19909793
20251106,254814214.13424554
20251107,254712363.09205514
20251110,254876751.8390436
20251111,254047380.726653
20251112,252196262.4844391
20251113,255663004.65225837
20251114,252034613.873123
20251117,251215026.63334936
20251118,247885685.7135421
20251119,248141850.33240345
20251120,245864329.0158098
20251121,235011533.9577129
20251124,237678596.3664877
20251125,243471811.9001309
20251126,243331907.53690132
20251127,245521354.95554912
20251128,250204489.26109496
20251201,252274762.70464033
20251202,251388553.4667685
20251203,252272668.75811028
20251204,251790604.05433646
20251205,255715830.895236
20251208,256389607.88475502
20251209,254984533.3907277
20251210,256344780.4989775
20251211,254421115.32404134
20251212,257286886.69886306
20251215,258883494.75163564
20251216,253066734.42574143
20251217,256229034.38244364
20251218,255952921.66453877
20251219,258732149.06662497
20251222,262233804.68828037
20251223,262812891.37678874
20251224,266236193.69356313
20251225,268625752.9960248
20251226,271136675.7711455
20251229,270452685.5370928
20251230,269669862.74769634
20251231,269797347.67742985
